순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
25.0,퍼시픽 림,2013-07-11,20477374512.0,1.40%,2539113.0,1005.0,55655.0,미국,미국,워너브러더스 코리아(주),액션,15세 관람가,111.0,스티븐 S. 드나이트,7.0,여름
26.0,화이: 괴물을 삼킨 아이,2013-10-09,17695412795.0,1.20%,2394453.0,817.0,59049.0,한국,한국,(주)쇼박스,액션,청소년 관람불가,126.0,장준환,10.0,가을
27.0,컨저링,2013-09-17,16353225777.0,1.10%,2262758.0,563.0,48616.0,미국,미국,워너브러더스 코리아(주),공포,청소년 관람불가,91.0,스콧 제프리,9.0,가을
28.0,맨 오브 스틸,2013-06-13,17092964063.0,1.10%,2182227.0,998.0,55514.0,미국,미국,워너브러더스 코리아(주),액션,12세 관람가,143.0,잭 스나이더,6.0,여름
29.0,용의자,2013-12-24,15629492500.0,1.00%,2176752.0,807.0,26814.0,한국,한국,(주)쇼박스,액션,15세 관람가,137.0,원신연,12.0,겨울
30.0,호빗: 스마우그의 폐허,2013-12-12,16564184549.0,1.10%,2115878.0,811.0,35223.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),판타지,12세 관람가,161.0,피터 잭슨,12.0,겨울
31.0,몽타주,2013-05-16,15002458500.0,1.00%,2095592.0,544.0,53195.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세 관람가,120.0,정근섭,5.0,봄
32.0,터보,2013-07-25,13116737000.0,0.90%,1924414.0,634.0,28783.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,95.0,데이빗 소렌,7.0,여름
33.0,연애의 온도,2013-03-21,13798864446.0,0.90%,1865195.0,567.0,57847.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로/로맨스,청소년 관람불가,112.0,노덕,3.0,봄
34.0,지.아이.조 2,2013-03-28,14457048500.0,1.00%,1855917.0,766.0,62627.0,미국,"미국,캐나다",(주)씨제이이엔엠,액션,15세 관람가,110.0,존 추,3.0,봄
35.0,분노의 질주: 더 맥시멈,2013-05-22,13210338042.0,0.90%,1790916.0,657.0,44371.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,130.0,저스틴 린,5.0,봄
36.0,공범,2013-10-24,12333110882.0,0.80%,1766285.0,611.0,51425.0,한국,한국,(주)씨제이이엔엠,스릴러,15세 관람가,95.0,국동석,10.0,가을
37.0,집으로 가는 길,2013-12-11,12373339745.0,0.80%,1763231.0,740.0,39811.0,한국,한국,(주)씨제이이엔엠,드라마,15세 관람가,131.0,방은진,12.0,겨울
38.0,전설의 주먹,2013-04-10,12777314500.0,0.80%,1744585.0,724.0,57593.0,한국,한국,(주)씨제이이엔엠,액션,청소년 관람불가,153.0,강우석,4.0,봄
39.0,파파로티,2013-03-14,11825934000.0,0.80%,1716429.0,552.0,53601.0,한국,한국,(주)쇼박스,드라마,15세 관람가,127.0,윤종찬,3.0,봄
40.0,스타트렉 다크니스,2013-05-30,12964828000.0,0.90%,1605271.0,607.0,40504.0,미국,미국,(주)씨제이이엔엠,액션,12세 관람가,132.0,J.J. 에이브럼스,5.0,봄
41.0,오블리비언,2013-04-11,11165841500.0,0.70%,1515356.0,634.0,47871.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세 관람가,124.0,조셉 코신스키,4.0,봄
42.0,위대한 개츠비,2013-05-16,10581329643.0,0.70%,1445248.0,562.0,36008.0,미국,"미국,호주",워너브러더스 코리아(주),드라마,15세 관람가,141.0,바즈 루어만,5.0,봄
43.0,다이하드: 굿 데이 투 다이,2013-02-06,10825703000.0,0.70%,1438056.0,459.0,33055.0,미국,미국,이십세기폭스코리아(주),액션,15세 관람가,96.0,존 무어,2.0,겨울
44.0,런닝맨,2013-04-04,10060239500.0,0.70%,1422844.0,567.0,45995.0,한국,"한국,미국",이십세기폭스코리아(주),액션,15세 관람가,127.0,조동오,4.0,봄
45.0,미스터 고,2013-07-17,9337976000.0,0.60%,1328888.0,840.0,38263.0,한국,"한국,중국",(주)쇼박스,드라마,12세 관람가,132.0,김용화,7.0,여름
46.0,결혼전야,2013-11-21,8434175719.0,0.60%,1212843.0,524.0,38819.0,한국,한국,씨너스엔터테인먼트(주),멜로/로맨스,15세 관람가,118.0,홍지영,11.0,가을
47.0,깡철이,2013-10-02,8572344462.0,0.60%,1209363.0,707.0,43102.0,한국,한국,(주)씨제이이엔엠,가족,15세 관람가,108.0,안권태,10.0,가을
48.0,엘리시움,2013-08-29,9017994500.0,0.60%,1207732.0,588.0,31515.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,청소년 관람불가,109.0,닐 블롬캠프,8.0,여름
49.0,더 웹툰: 예고살인,2013-06-27,8537683070.0,0.60%,1201457.0,541.0,35931.0,한국,한국,(주)씨제이이엔엠,공포,15세 관람가,104.0,김용균,6.0,여름
50.0,웜 바디스,2013-03-14,8361708124.0,0.60%,1169839.0,477.0,37960.0,미국,미국,(주)씨제이이엔엠,코미디,15세 관람가,96.0,조나단 레빈,3.0,봄
51.0,고령화 가족,2013-05-09,8169492153.0,0.50%,1141222.0,583.0,37524.0,한국,한국,(주)씨제이이엔엠,드라마,15세 관람가,112.0,송해성,5.0,봄
52.0,헝거게임: 캣칭 파이어,2013-11-21,7850816000.0,0.50%,1125739.0,630.0,33686.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,판타지,15세 관람가,146.0,프란시스 로렌스,11.0,가을
53.0,더 울버린,2013-07-25,7849518000.0,0.50%,1075333.0,707.0,26905.0,미국,미국,이십세기폭스코리아(주),SF,15세 관람가,125.0,제임스 맨골드,7.0,여름
54.0,동창생,2013-11-06,7010197126.0,0.50%,1048280.0,660.0,36401.0,한국,한국,(주)쇼박스,액션,15세 관람가,113.0,박홍수,11.0,가을
55.0,에픽 : 숲속의 전설,2013-08-07,6748072000.0,0.40%,978785.0,471.0,18377.0,미국,미국,이십세기폭스코리아(주),애니메이션,전체 관람가,102.0,크리스 웨지,8.0,여름
56.0,전국노래자랑,2013-05-01,6687636000.0,0.40%,978413.0,581.0,41649.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세 관람가,112.0,이종필,5.0,봄
57.0,슈퍼배드 2,2013-09-12,6605655500.0,0.40%,962862.0,424.0,17373.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체 관람가,98.0,피에르 꼬팽,9.0,가을
58.0,잭 더 자이언트 킬러,2013-02-28,7376481000.0,0.50%,956154.0,507.0,27115.0,미국,미국,워너브러더스 코리아(주),모험,12세 관람가,114.0,브라이언 싱어,2.0,겨울
59.0,크루즈 패밀리,2013-05-16,6540951500.0,0.40%,941824.0,525.0,21734.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,95.0,조엘 크로포드,5.0,봄
60.0,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,6826641500.0,0.50%,931342.0,459.0,19941.0,한국,한국,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠",애니메이션,전체 관람가,77.0,박영균,1.0,겨울
61.0,개구쟁이 스머프 2,2013-08-01,5993979500.0,0.40%,921788.0,478.0,15485.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,104.0,라자 고스넬,8.0,여름
62.0,몬스터 호텔,2013-01-17,6080221500.0,0.40%,884885.0,489.0,16647.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,91.0,젠디 타타코브스키,1.0,겨울
63.0,열한시,2013-11-28,6097792000.0,0.40%,870785.0,512.0,32536.0,한국,한국,(주)씨제이이엔엠,스릴러,15세 관람가,99.0,김현석,11.0,가을
64.0,몬스터 대학교,2013-09-12,5879223500.0,0.40%,870605.0,385.0,15172.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,110.0,댄 스캔론,9.0,가을
65.0,남쪽으로 튀어,2013-02-06,5970851500.0,0.40%,832894.0,428.0,23088.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,121.0,임순례,2.0,겨울
66.0,하늘에서 음식이 내린다면 2,2013-11-21,5411562500.0,0.40%,797850.0,545.0,16340.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,94.0,코디 캐머런,11.0,가을
67.0,잭 리처,2013-01-17,5758577000.0,0.40%,784031.0,431.0,19868.0,미국,미국,(주)씨제이이엔엠,액션,15세 관람가,118.0,에드워드 즈윅,1.0,겨울
68.0,반창꼬,2012-12-19,5451422068.0,0.40%,745262.0,381.0,20840.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,120.0,정기훈,12.0,겨울
69.0,더 파이브,2013-11-14,5343797000.0,0.40%,731212.0,501.0,27308.0,한국,한국,(주)씨제이이엔엠,스릴러,청소년 관람불가,123.0,정연식,11.0,가을
70.0,더 임파서블,2013-01-17,4445235500.0,0.30%,622704.0,407.0,19595.0,스페인,"스페인,미국",롯데쇼핑㈜롯데엔터테인먼트,드라마,12세 관람가,113.0,후안 안토니오 바요나,1.0,겨울
71.0,인시디어스: 두번째 집,2013-12-05,4001137000.0,0.30%,577748.0,405.0,18653.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),공포,15세 관람가,106.0,제임스 완,12.0,겨울
72.0,섀도우 헌터스: 뼈의 도시,2013-09-12,4034176500.0,0.30%,571074.0,374.0,18273.0,미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트,판타지,15세 관람가,130.0,해럴드 즈워트,9.0,가을
73.0,화이트 하우스 다운,2013-06-27,4015707500.0,0.30%,569500.0,480.0,19850.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세 관람가,131.0,롤랜드 에머리히,6.0,여름
74.0,애프터 어스,2013-05-30,3831856167.0,0.30%,537920.0,484.0,19867.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,12세 관람가,100.0,M. 나이트 샤말란,5.0,봄
75.0,사이코메트리,2013-03-07,3978495129.0,0.30%,534273.0,429.0,23487.0,한국,한국,(주)씨제이이엔엠,드라마,청소년 관람불가,108.0,토마스 로스,3.0,봄
76.0,퍼시 잭슨과 괴물의 바다,2013-09-12,3791349609.0,0.30%,519584.0,409.0,17054.0,미국,미국,이십세기폭스코리아(주),모험,12세 관람가,106.0,쏘어 프류덴탈,9.0,가을
77.0,남자사용설명서,2013-02-14,3606654257.0,0.20%,507913.0,372.0,17238.0,한국,한국,(주)쇼박스,멜로/로맨스,15세 관람가,116.0,이원석,2.0,겨울
78.0,다이노소어 어드벤처 3D,2013-12-19,4140930000.0,0.30%,507164.0,464.0,8994.0,미국,"미국,영국",이십세기폭스코리아(주),애니메이션,전체 관람가,87.0,닐 나이팅게일,12.0,겨울
79.0,무서운 이야기 2,2013-06-05,3393667500.0,0.20%,495522.0,337.0,18509.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,15세 관람가,95.0,김성호,6.0,여름
80.0,캐치미,2013-12-18,3293262500.0,0.20%,480434.0,517.0,16151.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,대한민국,12.0,이현우,12.0,겨울
81.0,썬더와 마법저택,2013-12-24,3109415000.0,0.20%,459295.0,422.0,6081.0,벨기에,벨기에,(주)씨제이이엔엠,애니메이션,전체 관람가,86.0,벤 스타센,12.0,겨울
82.0,노브레싱,2013-10-30,2991824739.0,0.20%,451669.0,584.0,24912.0,한국,"한국,필리핀",(주)나이너스엔터테인먼트,드라마,15세 관람가,118.0,조용선,10.0,가을
83.0,클라우드 아틀라스,2013-01-09,3385615727.0,0.20%,449344.0,382.0,13627.0,미국,"미국,독일",(주)넥스트엔터테인먼트월드(NEW),SF,청소년 관람불가,172.0,릴리 워쇼스키,1.0,겨울
84.0,창수,2013-11-28,3146542000.0,0.20%,429141.0,415.0,19471.0,한국,한국,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",느와르,청소년 관람불가,103.0,이덕희,11.0,가을
85.0,명탐정 코난 : 수평선상의 음모,2013-08-07,2465123000.0,0.20%,389871.0,316.0,8196.0,일본,일본,(주)씨제이이엔엠,애니메이션,12세 관람가,107.0,야마모토 야스이치로,8.0,여름
86.0,론 레인저,2013-07-04,2750149500.0,0.20%,387527.0,401.0,14155.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세 관람가,149.0,고어 버빈스키,7.0,여름
87.0,스토커,2013-02-28,2829265174.0,0.20%,378874.0,329.0,15590.0,미국,미국,이십세기폭스코리아(주),스릴러,청소년 관람불가,99.0,박찬욱,2.0,겨울
88.0,오즈 그레이트 앤드 파워풀,2013-03-07,2886185000.0,0.20%,350563.0,425.0,15582.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),판타지,전체 관람가,127.0,샘 레이미,3.0,봄
89.0,미나문방구,2013-05-16,2247017000.0,0.10%,334323.0,385.0,16653.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,전체 관람가,106.0,정익환,5.0,봄
90.0,차이니즈 조디악,2013-02-27,2211711500.0,0.10%,315305.0,300.0,13432.0,중국,중국,롯데쇼핑㈜롯데엔터테인먼트,모험,12세 관람가,128.0,성룡,2.0,겨울
91.0,빌리와 용감한 녀석들 2,2013-02-21,2006325000.0,0.10%,306837.0,289.0,7410.0,인도,인도,(주)에스비에스콘텐츠허브,애니메이션,전체 관람가,82.0,닉힐 아드바니,2.0,겨울
92.0,주먹왕 랄프,2012-12-19,2116917500.0,0.10%,301436.0,286.0,7086.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,112.0,필 존스턴,12.0,겨울
93.0,이스케이프 플랜,2013-12-05,2106938679.0,0.10%,292892.0,287.0,10331.0,미국,미국,판씨네마(주),액션,15세 관람가,93.0,스티븐 C. 밀러,12.0,겨울
94.0,눈의 여왕,2013-02-07,1846221000.0,0.10%,276913.0,316.0,6528.0,러시아,러시아,(주)넥스트엔터테인먼트월드(NEW),드라마,미국,15.0,아담 갠저,2.0,겨울
95.0,롤러코스터,2013-10-17,1913087600.0,0.10%,270148.0,374.0,14726.0,한국,한국,(주)씨제이이엔엠,코미디,15세 관람가,94.0,하정우,10.0,가을
96.0,헨젤과 그레텔: 마녀 사냥꾼 3D,2013-02-14,2122205602.0,0.10%,269510.0,297.0,10624.0,미국,"미국,영국",(주)씨제이이엔엠,액션,청소년 관람불가,87.0,토미 위르콜라,2.0,겨울
97.0,파이스토리 : 악당상어 소탕작전,2013-01-10,1808263000.0,0.10%,267440.0,298.0,7483.0,미국,"미국,한국",(주)에스비에스콘텐츠허브,애니메이션,전체 관람가,80.0,마크 A.Z. 디페,1.0,겨울
98.0,장고:분노의 추적자,2013-03-21,1883634000.0,0.10%,260144.0,342.0,11792.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,청소년 관람불가,165.0,쿠엔틴 타란티노,3.0,봄
99.0,밤의 여왕,2013-10-17,1762892500.0,0.10%,252475.0,333.0,13286.0,한국,한국,(주)인벤트스톤,멜로/로맨스,15세 관람가,113.0,김제영,10.0,가을
100.0,캡틴 필립스,2013-10-23,1679067434.0,0.10%,241514.0,302.0,10623.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),드라마,15세 관람가,134.0,폴 그린그래스,10.0,가을
101.0,잠베지아: 신비한 나무섬의 비밀,2012-12-25,1579355000.0,0.10%,232089.0,240.0,5946.0,남아프리카공화국,"남아프리카공화국,미국",롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체 관람가,83.0,웨인 쏜리,12.0,겨울
102.0,분노의 윤리학,2013-02-21,1658653000.0,0.10%,225618.0,302.0,11909.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,청소년 관람불가,110.0,박명랑,2.0,겨울
103.0,잡스,2013-08-29,1594901136.0,0.10%,225343.0,402.0,12017.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세 관람가,127.0,조슈아 마이클 스턴,8.0,여름
104.0,세이빙 산타,2013-12-19,1423164000.0,0.10%,220748.0,297.0,4347.0,영국,영국,(주)영화사 빅,애니메이션,전체 관람가,84.0,레온 주센,12.0,겨울
105.0,짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,2013-04-25,1430168500.0,0.10%,217320.0,328.0,5977.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체 관람가,111.0,마스이 소우이치,4.0,봄
106.0,송 포 유,2013-04-18,1485573000.0,0.10%,217314.0,317.0,11737.0,영국,영국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세 관람가,93.0,폴 앤드류 윌리엄스,4.0,봄
107.0,호빗: 뜻밖의 여정,2012-12-13,1712751650.0,0.10%,213869.0,280.0,6606.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),판타지,12세 관람가,169.0,피터 잭슨,12.0,겨울
108.0,비행기,2013-12-19,1497601500.0,0.10%,209653.0,408.0,5620.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,"<dd>10.0 <span class=""bg_point per100""><span class=""ico_point""></span></span></dd>",92.0,전체,12.0,겨울
109.0,비포 미드나잇,2013-05-22,1488770000.0,0.10%,203940.0,275.0,9504.0,미국,미국,"(주)까멜리아이엔티,(주)팝엔터테인먼트",멜로/로맨스,청소년 관람불가,108.0,리처드 링클레이터,5.0,봄
110.0,응징자,2013-10-30,1388412500.0,0.10%,192347.0,305.0,12023.0,한국,한국,(주)인벤트스톤,액션,청소년 관람불가,103.0,신재호,10.0,가을
111.0,프리즈너스,2013-10-02,1374330500.0,0.10%,188084.0,297.0,7922.0,미국,미국,"(주)넥스트엔터테인먼트월드(NEW),판씨네마(주)",스릴러,청소년 관람불가,153.0,드니 빌뇌브,10.0,가을
112.0,마이 리틀 히어로,2013-01-09,1286203128.0,0.10%,183650.0,341.0,11663.0,한국,한국,(주)씨제이이엔엠,드라마,전체 관람가,135.0,김성훈,1.0,겨울
113.0,해양경찰 마르코,2013-02-14,1151907000.0,0.10%,181740.0,276.0,4674.0,덴마크,덴마크,(주)인벤트스톤,애니메이션,전체 관람가,80.0,얀 라벡,2.0,겨울
114.0,백악관 최후의 날,2013-06-05,1272025000.0,0.10%,181257.0,283.0,9349.0,미국,미국,씨너스엔터테인먼트(주),액션,청소년 관람불가,120.0,안톤 후쿠아,6.0,여름
115.0,명탐정 코난:은빛 날개의 마술사,2013-01-24,1158761500.0,0.10%,176495.0,139.0,3661.0,일본,일본,(주)씨제이이엔엠,애니메이션,전체 관람가,107.0,야마모토 야스이치로,1.0,겨울
116.0,톱스타,2013-10-24,1194185500.0,0.10%,175153.0,397.0,12218.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,114.0,박중훈,10.0,가을
117.0,노리개,2013-04-18,1229614500.0,0.10%,169064.0,278.0,11564.0,한국,한국,(주)인벤트스톤,드라마,15세 관람가,102.0,최승호,4.0,봄
118.0,엔더스 게임,2013-12-31,1229288000.0,0.10%,166533.0,460.0,2876.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,12세 관람가,114.0,개빈 후드,12.0,겨울
119.0,니코: 산타비행단의 모험,2012-12-25,1111536500.0,0.10%,164386.0,260.0,4260.0,핀란드,"핀란드,덴마크,아일랜드,독일",씨너스엔터테인먼트(주),애니메이션,전체 관람가,76.0,캐리 주스넌,12.0,겨울
120.0,더 자이언트,2013-02-21,996662000.0,0.10%,157990.0,227.0,4565.0,미국,"미국,태국",(주)마인스 엔터테인먼트,애니메이션,전체 관람가,90.0,프라파스 콜사라논,2.0,겨울
121.0,히든 카드,2013-09-26,1080423651.0,0.10%,151476.0,362.0,10423.0,미국,미국,이십세기폭스코리아(주),범죄,청소년 관람불가,88.0,브래드 퍼맨,9.0,가을
122.0,가문의 영광5 - 가문의 귀환,2012-12-19,1085286000.0,0.10%,147798.0,224.0,6856.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,104.0,정용기,12.0,겨울
123.0,안나 카레니나,2013-03-21,989494500.0,0.10%,144351.0,248.0,7651.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,15세 관람가,130.0,조 라이트,3.0,봄
124.0,링컨,2013-03-14,954242500.0,0.10%,137505.0,214.0,5948.0,미국,미국,이십세기폭스코리아(주),드라마,12세 관람가,150.0,스티븐 스필버그,3.0,봄
125.0,더 퍼지,2013-11-06,1032196000.0,0.10%,137340.0,232.0,6013.0,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),스릴러,청소년 관람불가,103.0,에베라도 발레리오 구트,11.0,가을
126.0,카운슬러,2013-11-14,966623000.0,0.10%,133272.0,293.0,7740.0,미국,"미국,영국",이십세기폭스코리아(주),스릴러,청소년 관람불가,117.0,리들리 스콧,11.0,가을
127.0,리딕,2013-11-28,927494000.0,0.10%,132059.0,275.0,7468.0,미국,미국,(주)영화사 빅,SF,15세 관람가,118.0,데이빗 토히,11.0,가을
128.0,러시 : 더 라이벌,2013-10-09,931998000.0,0.10%,126994.0,270.0,8129.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년 관람불가,123.0,론 하워드,10.0,가을
129.0,버틀러: 대통령의 집사,2013-11-28,884325000.0,0.10%,126822.0,182.0,4927.0,미국,미국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,132.0,리 다니엘스,11.0,가을
130.0,극장판 도라에몽: 진구의 비밀도구 박물관,2013-07-25,780545500.0,0.10%,122172.0,239.0,3555.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체 관람가,104.0,테라모토 유키요,7.0,여름
131.0,배우는 배우다,2013-10-24,811202000.0,0.10%,111948.0,297.0,9265.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년 관람불가,98.0,신연식,10.0,가을
132.0,제로 다크 서티,2013-03-07,780080000.0,0.10%,108991.0,258.0,6966.0,미국,미국,(주)에스비에스콘텐츠허브,스릴러,15세 관람가,157.0,캐스린 비글로우,3.0,봄
133.0,월터의 상상은 현실이 된다,2013-12-31,743042000.0,0.00%,107278.0,378.0,1889.0,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)",모험,12세 관람가,114.0,벤 스틸러,12.0,겨울
134.0,바람이 분다,2013-09-05,747245500.0,0.00%,106439.0,288.0,6684.0,일본,일본,롯데쇼핑㈜롯데엔터테인먼트,대한민국,<dd>17분</dd>,0.0,홍유정,9.0,가을
